Internal ID,Source,Direct DMP Link,Public ID,Name,Date of Creation,Format,Template,Language,License,Parts/Quesions according to template,Completeness (with relation to the template),Declarated access level,notes,Tool,Figures,Tables (beside first page of metadata),Lists
30,TU Vien,https://phaidra.univie.ac.at/detail/o:1139193,o:1139193,INFORM Data management plan,2025-05-31T18:22:05.161Z,PDF,Horizon 2020,en,All rights reserved,100,80,Public,,unknown,no,no,no
37,TU Vien,https://phaidra.univie.ac.at/detail/o:1139211,o:1139211,ICO2CHEM Data Management Plan,2025-05-31T18:22:13.441Z,PDF,Horizon 2020,en,All rights reserved,50,50,Public,Contains section headings only; questions are omitted.,unknown,no,no,no
46,TU Vien,https://phaidra.univie.ac.at/detail/o:1139231,o:1139231,MELLODDY Data Management Plan,2025-05-31T18:22:21.899Z,PDF,unknown,en,All rights reserved,0,100,Public,References Horizon 2020 but primarily describes project and data-management practices.,unknown,yes,no,no
51,TU Vien,https://phaidra.univie.ac.at/detail/o:1139241,o:1139241,FORCE Data Management Plan,2025-05-31T18:22:26.298Z,PDF,Horizon 2020,en,All rights reserved,50,100,Public,Contains section headings only; organized by work packages.,unknown,no,yes,yes
73,TU Vien,https://phaidra.univie.ac.at/detail/o:1139297,o:1139297,SMARTFISH Data Management Plan,2025-05-31T18:22:51.498Z,PDF,unknown,en,All rights reserved,0,100,Public,"Licence: Open Research Data Pilot. Says H2020, but not containing relevant parts/questions.",unknown,yes,yes,yes
74,TU Vien,https://phaidra.univie.ac.at/detail/o:1139298,o:1139298,GRECO Data Management Plan,2025-05-31T18:22:52.051Z,PDF,Horizon 2020,en,CC BY-NC 4.0,80,100,Public,Contains template sections with modified wording.,unknown,yes,yes,yes
77,TU Vien,https://phaidra.univie.ac.at/detail/o:1139303,o:1139303,FABLABIA Data management plan,2025-05-31T18:22:54.257Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,no,no,no
79,TU Vien,https://phaidra.univie.ac.at/detail/o:1139306,o:1139306,ROSSINI Data Management Plan,2025-05-31T18:22:55.622Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording).Contains approach and explanation of data management in the project.,unknown,yes,yes,yes
83,TU Vien,https://phaidra.univie.ac.at/detail/o:1139331,o:1139331,Bio4Comp Data Management Plan,2025-05-31T18:23:08.750Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,no,no,yes
93,TU Vien,https://phaidra.univie.ac.at/detail/o:1139370,o:1139370,WEAR Data Management Plan,2025-05-31T18:23:25.429Z,PDF,unknown,en,All rights reserved,0,100,Public,"Says H2020, but not containing relevant parts/questions.",unknown,no,no,yes
127,TU Vien,https://phaidra.univie.ac.at/detail/o:1139438,o:1139438,FLORA Data Management Plan,2025-05-31T18:23:54.805Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording). Contains approach and explanation of data management in the project.,unknown,no,yes,no
144,TU Vien,https://phaidra.univie.ac.at/detail/o:1139469,o:1139469,EFICONSUMPTION Data management plan,2025-05-31T18:24:09.827Z,PDF,unknown,en,All rights reserved,0,100,Public,"Says H2020, but not containing relevant parts/questions.",unknown,yes,yes,yes
148,TU Vien,https://phaidra.univie.ac.at/detail/o:1139477,o:1139477,COHESIFY Data management plan,2025-05-31T18:24:13.637Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template parts but no questions (or modified wording).,unknown,no,yes,yes
175,TU Vien,https://phaidra.univie.ac.at/detail/o:1139527,o:1139527,HybridHeart Data Management Plan,2025-05-31T18:24:37.267Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,no,yes,yes
225,TU Vien,https://phaidra.univie.ac.at/detail/o:1139649,o:1139649,KINDRA Data Management Plan,2025-05-31T18:25:30.354Z,PDF,unknown,en,All rights reserved,0,100,Public,,unknown,no,yes,yes
242,TU Vien,https://phaidra.univie.ac.at/detail/o:1139694,o:1139694,MaX Data management plan,2025-05-31T18:25:50.023Z,PDF,unknown,en,All rights reserved,0,100,Public,,unknown,yes,yes,yes
272,TU Vien,https://phaidra.univie.ac.at/detail/o:1139789,o:1139789,DESIR Data Management Plan,2025-05-31T18:26:29.312Z,PDF,unknown,en,All rights reserved,80,100,Public,Organized by work packages.,unknown,yes,yes,yes
297,TU Vien,https://phaidra.univie.ac.at/detail/o:1139865,o:1139865,RESIST Data Management Plan,2025-05-31T18:26:59.958Z,PDF,unknown,en,All rights reserved,0,100,Public,,unknown,no,yes,yes
303,TU Vien,https://phaidra.univie.ac.at/detail/o:1139993,o:1139993,NATHenA Data management plan,2025-05-31T18:27:31.610Z,PDF,unknown,en,All rights reserved,0,100,Public,,unknown,no,yes,yes
306,TU Vien,https://phaidra.univie.ac.at/detail/o:1140002,o:1140002,PRECRIME Data Management Plan,2025-05-31T18:27:33.830Z,PDF,unknown,en,MIT,0,100,Public,,unknown,no,yes,yes
309,TU Vien,https://phaidra.univie.ac.at/detail/o:1140011,o:1140011,NICI Data Management Plan,2025-05-31T18:27:36.132Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,no,yes,yes
333,TU Vien,https://phaidra.univie.ac.at/detail/o:1139882,o:1139882,REACH Data Management Plan,2025-05-31T18:27:04.495Z,PDF,unknown,en,All rights reserved,0,100,Public,,unknown,no,yes,yes
334,TU Vien,https://phaidra.univie.ac.at/detail/o:1139884,o:1139884,CAPTAIN Data management plan,2025-05-31T18:27:04.971Z,PDF,unknown,en,All rights reserved,0,50,Public,,unknown,no,yes,yes
335,TU Vien,https://phaidra.univie.ac.at/detail/o:1139886,o:1139886,SenSE Data Management Plan,2025-05-31T18:27:05.453Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,no,yes,yes
338,TU Vien,https://phaidra.univie.ac.at/detail/o:1139895,o:1139895,NEXTFOOD Data management plan,2025-05-31T18:27:07.540Z,PDF,Horizon 2020,en,All rights reserved,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,no,yes,yes
